,journal,title,authors,abstract,cite,JEL,url,vol,doi,year
10,Journal of Economic Literature,Women Empowerment and Economic Development,['Esther Duflo'],"Women empowerment and economic development are closely related: in one direction, development alone can play a major role in driving down inequality between men and women; in the other direction, empowering women may benefit development. Does this imply that pushing just one of these two levers would set a virtuous circle in motion? This paper reviews the literature on both sides of the empowerment–development nexus, and argues that the interrelationships are probably too weak to be self-sustaining, and that continuous policy commitment to equality for its own sake may be needed to bring about equality between men and women. (JEL I14, I24, I32, I38, J13, J16, O15)","Esther Duflo, 2012. ""Women Empowerment and Economic Development,"" Journal of Economic Literature, American Economic Association, vol. 50(4), pages 1051-1079, December.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i4p1051-79.html,"50(4), pages 1051-1079, December.", 10.1257/jel.50.4.1051,2012
11,Journal of Economic Literature,"Psychologists at the Gate: A Review of Daniel Kahneman's Thinking, Fast and Slow",['Andrei Shleifer'],"The publication of Daniel Kahneman's book, Thinking, Fast and Slow , is a major intellectual event. The book summarizes, but also integrates, the research that Kahneman has done over the past forty years, beginning with his path-breaking work with the late Amos Tversky. The broad theme of this research is that human beings are intuitive thinkers and that human intuition is imperfect, with the result that judgments and choices often deviate substantially from the predictions of normative statistical and economic models. In this review, I discuss some broad ideas and themes of the book, describe some economic applications, and suggest future directions for research that the book points to, especially in decision theory. (JEL A12, D03, D80, D87)","Andrei Shleifer, 2012. ""Psychologists at the Gate: A Review of Daniel Kahneman's Thinking, Fast and Slow,"" Journal of Economic Literature, American Economic Association, vol. 50(4), pages 1080-1091, December.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i4p1080-91.html,"50(4), pages 1080-1091, December.", 10.1257/jel.50.4.1080,2012
12,Journal of Economic Literature,Global Financial Stability and the Lessons of History: A Review of Carmen M. Reinhart and Kenneth S. Rogoff's This Time Is Different: Eight Centuries of Financial Folly,['Alan M. Taylor'],"In Reinhart and Rogoff's economic history This Time is Different , the authors provide a panoramic view of crises from the Middle Ages to the modern era. Published just as the current global financial storm arrived, the book quickly showed how history could provide not just useful perspective but also, as we can now see, very prescient guidance in the aftermath. In the longer run, the book serves to inspire ongoing work in long-run macro-financial history. (JEL F30, G01, G20, N20)","Alan M. Taylor, 2012. ""Global Financial Stability and the Lessons of History: A Review of Carmen M. Reinhart and Kenneth S. Rogoff's This Time Is Different: Eight Centuries of Financial Folly,"" Journal of Economic Literature, American Economic Association, vol. 50(4), pages 1092-1105, December.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i4p1092-1105.html,"50(4), pages 1092-1105, December.", 10.1257/jel.50.4.1092,2012
13,Journal of Economic Literature,Technology Growth and Expenditure Growth in Health Care,"['Amitabh Chandra', 'Jonathan Skinner']","In the United States, health care technology has contributed to rising survival rates, yet health care spending relative to GDP has also grown more rapidly than in any other country. We develop a model of patient demand and supplier behavior to explain these parallel trends in technology growth and cost growth. We show that health care productivity depends on the heterogeneity of treatment effects across patients, the shape of the health production function, and the cost structure of procedures such as MRIs with high fixed costs and low marginal costs. The model implies a typology of medical technology productivity: (I) highly cost-effective ""home run"" innovations with little chance of overuse, such as anti-retroviral therapy for HIV, (II) treatments highly effective for some but not for all (e.g., stents), and (III) ""gray area"" treatments with uncertain clinical value such as ICU days among chronically ill patients. Not surprisingly, countries adopting Category I and effective Category II treatments gain the greatest health improvements, while countries adopting ineffective Category II and Category III treatments experience the most rapid cost growth. Ultimately, economic and political resistance in the United States to ever-rising tax rates will likely slow cost growth, with uncertain effects on technology growth. (JEL H51, I11, I18, O31)","Amitabh Chandra & Jonathan Skinner, 2012. ""Technology Growth and Expenditure Growth in Health Care,"" Journal of Economic Literature, American Economic Association, vol. 50(3), pages 645-680, September.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i3p645-80.html,"50(3), pages 645-680, September.", 10.1257/jel.50.3.645,2012
14,Journal of Economic Literature,"Globalization, Brain Drain, and Development","['Frédéric Docquier', 'Hillel Rapoport']","This paper reviews four decades of economics research on the brain drain, with a focus on recent contributions and on development issues. We first assess the magnitude, intensity, and determinants of the brain drain, showing that brain drain (or high-skill) migration is becoming a dominant pattern of international migration and a major aspect of globalization. We then use a stylized growth model to analyze the various channels through which a brain drain affects the sending countries and review the evidence on these channels. The recent empirical literature shows that high-skill emigration need not deplete a country's human capital stock and can generate positive network externalities. Three case studies are also considered: the African medical brain drain, the exodus of European scientists to the United States, and the role of the Indian diaspora in the development of India's information technology sector. We conclude with a discussion of the implications of the analysis for education, immigration, and international taxation policies in a global context. ( JEL F02, F22, J24, J61, O15)","Frédéric Docquier & Hillel Rapoport, 2012. ""Globalization, Brain Drain, and Development,"" Journal of Economic Literature, American Economic Association, vol. 50(3), pages 681-730, September.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i3p681-730.html,"50(3), pages 681-730, September.", 10.1257/jel.50.3.681,2012
15,Journal of Economic Literature,Forensic Economics,['Eric Zitzewitz'],"A new meta-field of ""forensic economics"" has begun to emerge, uncovering evidence of hidden behavior in a variety of domains. Examples include teachers cheating on exams, road builders skimping on materials, violations of U.N. sanctions, unnecessary heart surgeries, and racial biases in employment decisions, traffic stops, auto retailing, and even sports judging. In each case, part of the contribution of economic analysis is in uncovering evidence of wrongdoing. Although research questions differ, forensic economic work shares commonalities in approaches and limitations. This article seeks to draw out the common threads, with the hope of stimulating further research across fields. (JEL K13)","Eric Zitzewitz, 2012. ""Forensic Economics,"" Journal of Economic Literature, American Economic Association, vol. 50(3), pages 731-769, September.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i3p731-69.html,"50(3), pages 731-769, September.", 10.1257/jel.50.3.731,2012
16,Journal of Economic Literature,The Mirrlees Review and the State of Public Economics,['Anthony B. Atkinson'],"The Mirrlees Review of taxation in the United Kingdom is a landmark in the analysis of U.K. fiscal policy, and of wide interest to public finance economists around the world. This review concentrates on what we can learn from the Review about the current state of public economics and directions for future research. (JEL E62, H20, H50)","Anthony B. Atkinson, 2012. ""The Mirrlees Review and the State of Public Economics,"" Journal of Economic Literature, American Economic Association, vol. 50(3), pages 770-780, September.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i3p770-80.html,"50(3), pages 770-780, September.", 10.1257/jel.50.3.770,2012
17,Journal of Economic Literature,The Mirrlees Review,['Martin Feldstein'],"The Mirrlees Review is an ambitious and comprehensive analysis of the British tax system with detailed recommendations for reform. This review essay focuses on those issues that are also likely to be of interest to an American reader. The Review has the technical sophistication that readers would expect from a team of ten economists, chaired by James Mirrlees, the distinguished theorist who received the Nobel Prize for his contributions to the theory of optimal taxation. But it is written for a broader audience, explaining concepts like deadweight loss and the elasticity of tax revenue with respect to tax rates and doing so without any mathematics. (JEL D64, E21, E62, H24, H25)","Martin Feldstein, 2012. ""The Mirrlees Review,"" Journal of Economic Literature, American Economic Association, vol. 50(3), pages 781-790, September.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i3p781-90.html,"50(3), pages 781-790, September.", 10.1257/jel.50.3.781,2012
18,Journal of Economic Literature,Macroeconomics and the Term Structure,"['Refet S. Gürkaynak', 'Jonathan H. Wright']","This paper provides an overview of the analysis of the term structure of interest rates with a special emphasis on recent developments at the intersection of macroeconomics and finance. The topic is important to investors and also to policymakers, who wish to extract macroeconomic expectations from longer-term interest rates, and take actions to influence those rates. The simplest model of the term structure is the expectations hypothesis, which posits that long-term interest rates are expectations of future average short-term rates. In this paper, we show that many features of the configuration of interest rates are puzzling from the perspective of the expectations hypothesis. We review models that explain these anomalies using time-varying risk premia. Although the quest for the fundamental macroeconomic explanations of these risk premia is ongoing, inflation uncertainty seems to play a large role. Finally, while modern finance theory prices bonds and other assets in a single unified framework, we also consider an earlier approach based on segmented markets. Market segmentation seems important to understand the term structure of interest rates during the recent financial crisis. (JEL E31, E43, E52, E58)","Refet S. Gürkaynak & Jonathan H. Wright, 2012. ""Macroeconomics and the Term Structure,"" Journal of Economic Literature, American Economic Association, vol. 50(2), pages 331-367, June.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i2p331-67.html,"50(2), pages 331-367, June.", 10.1257/jel.50.2.331,2012
19,Journal of Economic Literature,Economic Incentives and Social Preferences: Substitutes or Complements?,"['Samuel Bowles', 'Sandra Polania-Reyes']","Explicit economic incentives designed to increase contributions to public goods and to promote other pro-social behavior sometimes are counterproductive or less effective than would be predicted among entirely self-interested individuals. This may occur when incentives adversely affect individuals' altruism, ethical norms, intrinsic motives to serve the public, and other social preferences. The opposite also occurs—crowding in—though it appears less commonly. In the fifty experiments that we survey, these effects are common, so that incentives and social preferences may be either substitutes (crowding out) or complements (crowding in). We provide evidence for four mechanisms that may account for these incentive effects on preferences: namely that incentives may (i) provide information about the person who implemented the incentive, (ii) frame the decision situation so as to suggest appropriate behavior, (iii) compromise a control averse individual's sense of autonomy, and (iv) affect the process by which people learn new preferences. An implication is that the evaluation of public policy must be restricted to allocations that are supportable as Nash equilibria when account is taken of these crowding effects. We show that well designed fines, subsidies, and the like minimize crowding out and may even do the opposite, making incentives and social preferences complements rather than substitutes. (JEL D02, D03, D04, D83, E61, H41, Z13)","Samuel Bowles & Sandra Polania-Reyes, 2012. ""Economic Incentives and Social Preferences: Substitutes or Complements?,"" Journal of Economic Literature, American Economic Association, vol. 50(2), pages 368-425, June.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i2p368-425.html,"50(2), pages 368-425, June.", 10.1257/jel.50.2.368,2012
20,Journal of Economic Literature,What Does Human Capital Do? A Review of Goldin and Katz's The Race between Education and Technology,"['Daron Acemoglu', 'David Autor']","Goldin and Katz's The Race between Education and Technology is a monumental achievement that supplies a unified framework for interpreting how the demand and supply of human capital have shaped the distribution of earnings in the U.S. labor market over the twentieth century. This essay reviews the theoretical and conceptual underpinnings of this work and documents the success of Goldin and Katz's framework in accounting for numerous broad labor market trends. The essay also considers areas where the framework falls short in explaining several key labor market puzzles of recent decades and argues that these shortcomings can potentially be overcome by relaxing the implicit equivalence drawn between workers' skills and their job tasks in the conceptual framework on which Goldin and Katz build. The essay argues that allowing for a richer set of interactions between skills and technologies in accomplishing job tasks both augments and refines the predictions of Goldin and Katz's approach and suggests an even more important role for human capital in economic growth than indicated by their analysis. (JEL I20, J24, J31, O30)","Daron Acemoglu & David Autor, 2012. ""What Does Human Capital Do? A Review of Goldin and Katz's The Race between Education and Technology,"" Journal of Economic Literature, American Economic Association, vol. 50(2), pages 426-463, June.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i2p426-63.html,"50(2), pages 426-463, June.", 10.1257/jel.50.2.426,2012
21,Journal of Economic Literature,Micro and Macro Labor Supply Elasticities: A Reassessment of Conventional Wisdom,"['Michael Keane', 'Richard Rogerson']","The response of aggregate labor supply to various changes in the economic environment is central to many economic issues, especially the optimal design of tax policies. Conventional wisdom based on studies in the 1980s and 1990s has long held that the analysis of micro data leads one to conclude that aggregate labor supply elasticities are quite small. In this paper we argue that this conventional wisdom does not hold up to empirically reasonable and relevant extensions of simple life cycle models that served as the basis for these conclusions. In particular, we show that several pieces of conventional wisdom fail in the presence of human capital accumulation or labor supply decisions that allow for adjustment along both the extensive and intensive margin. We conclude that previous estimates of small labor supply elasticities based on micro data are fully consistent with large aggregate labor supply elasticities. (JEL D91, E24, J22)","Michael Keane & Richard Rogerson, 2012. ""Micro and Macro Labor Supply Elasticities: A Reassessment of Conventional Wisdom,"" Journal of Economic Literature, American Economic Association, vol. 50(2), pages 464-476, June.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i2p464-76.html,"50(2), pages 464-476, June.", 10.1257/jel.50.2.464,2012
22,Journal of Economic Literature,Consumer Protection and Contingent Charges,"['Mark Armstrong', 'John Vickers']","Contingent charges for financial services, such as fees for unauthorized overdrafts, are often controversial. We study the economics of contingent charges in a stylized setting with naive and sophisticated consumers. We contrast situations where the naive benefit from the presence of sophisticated consumers with situations where competition works to subsidize the sophisticated at the expense of the naive, arguably unfairly. The case for regulatory intervention in these situations depends in good part, but not only, on the weight placed on distributional concerns. The economic and legal issues at stake are well illustrated by a case on bank charges recently decided by the U.K. Supreme Court. (JEL D14, D18, G21, G28, L51)","Mark Armstrong & John Vickers, 2012. ""Consumer Protection and Contingent Charges,"" Journal of Economic Literature, American Economic Association, vol. 50(2), pages 477-493, June.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i2p477-93.html,"50(2), pages 477-493, June.", 10.1257/jel.50.2.477,2012
23,Journal of Economic Literature,Financial Advice,"['Roman Inderst', 'Marco Ottaviani']","Financial advice could play an essential role in well-functioning markets for retail financial products, given that many consumers find it difficult to evaluate the complex products on offer. However, conflicts of interest, which are pervasive in some parts of the industry, can turn advice into a curse rather than a blessing for consumers, especially when consumers are not sufficiently wary. Through a simple model of financial advice, we overview the pros and cons of various policy interventions, such as imposing mandatory disclosure, banning commissions, and regulating contract cancellation terms. (JEL D14, D18, G21, G28)","Roman Inderst & Marco Ottaviani, 2012. ""Financial Advice,"" Journal of Economic Literature, American Economic Association, vol. 50(2), pages 494-512, June.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i2p494-512.html,"50(2), pages 494-512, June.", 10.1257/jel.50.2.494,2012
24,Journal of Economic Literature,The Elasticity of Taxable Income with Respect to Marginal Tax Rates: A Critical Review,"['Emmanuel Saez', 'Joel Slemrod', 'Seth H. Giertz']","This paper critically surveys the large and growing literature estimating the elasticity of taxable income with respect to marginal tax rates using tax return data. First, we provide a theoretical framework showing under what assumptions this elasticity can be used as a sufficient statistic for efficiency and optimal tax analysis. We discuss what other parameters should be estimated when the elasticity is not a sufficient statistic. Second, we discuss conceptually the key issues that arise in the empirical estimation of the elasticity of taxable income using the example of the 1993 top individual income tax rate increase in the United States to illustrate those issues. Third, we provide a critical discussion of selected empirical analyses of the elasticity of taxable income in light of the theoretical and empirical framework we laid out. Finally, we discuss avenues for future research. ( JEL H24, H31, J22)","Emmanuel Saez & Joel Slemrod & Seth H. Giertz, 2012. ""The Elasticity of Taxable Income with Respect to Marginal Tax Rates: A Critical Review,"" Journal of Economic Literature, American Economic Association, vol. 50(1), pages 3-50, March.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i1p3-50.html,"50(1), pages 3-50, March.", 10.1257/jel.50.1.3,2012
25,Journal of Economic Literature,The Enlightened Economy: An Economic History of Britain 1700-1850 : Review Essay,['Gregory Clark'],"The British Industrial Revolution is the key break in world history. Yet the timing, location, and cause of this Revolution are unsolved puzzles. Joel Mokyr's book is one of a number of recent attempted solutions. He explains the Industrial Revolution through the arrival of a particular ideology in Britain, associated with the earlier European intellectual movement of the Enlightenment. This review considers how Mokyr's ""idealist"" approach fares as an account of the Industrial Revolution, compared to the spate of recent proposed ""materialist"" explanations. ( JEL N13, N63)","Gregory Clark, 2012. ""The Enlightened Economy: An Economic History of Britain 1700-1850 : Review Essay,"" Journal of Economic Literature, American Economic Association, vol. 50(1), pages 85-95, March.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i1p85-95.html,"50(1), pages 85-95, March.", 10.1257/jel.50.1.85,2012
26,Journal of Economic Literature,Economic History or History of Economics? Grand Pursuit: The Story of Economic Genius : Review Essay,['Orley Ashenfelter'],"In this essay, I review Sylvia Nasar's long awaited new history of economics, Grand Pursuit: The Story of Economic Genius . I describe how the book is an economic history of the period 1850-1950, with distinguished economists' stories inserted in appropriate places. Nasar's goal is to show how economists work, but also to show that they are people too—with more than enough warts and foibles to show they are human! I contrast the general view of the role of economics in Grand Pursuit with Robert Heilbroner's remarkably different conception in The Worldly Philosophers: The Lives, Times, and Ideas of the Great Economic Thinkers . I also discuss more generally the question of why economists might be interested in their history at all. (JEL B10, B20, B30, N00)","Orley Ashenfelter, 2012. ""Economic History or History of Economics? Grand Pursuit: The Story of Economic Genius : Review Essay,"" Journal of Economic Literature, American Economic Association, vol. 50(1), pages 96-102, March.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i1p96-102.html,"50(1), pages 96-102, March.", 10.1257/jel.50.1.96,2012
27,Journal of Economic Literature,Fighting Poverty One Experiment at a Time: Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty : Review Essay,['Martin Ravallion'],"Abhijit Banerjee and Esther Duflo offer a coherent vision for an economics of poverty and antipoverty policy. Their economics is grounded in an effort to understand the economic and psychological complexities in the lives of poor people, informed by social experiments and field observations. Their preferred policies entail small reforms at the margin, also informed by experiments—specifically randomized control trials. While the book provides some interesting insights, I question how far its approach will get us in fighting global poverty. (JEL I32, I38, O15, P36)","Martin Ravallion, 2012. ""Fighting Poverty One Experiment at a Time: Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty : Review Essay,"" Journal of Economic Literature, American Economic Association, vol. 50(1), pages 103-114, March.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i1p103-14.html,"50(1), pages 103-114, March.", 10.1257/jel.50.1.103,2012
28,Journal of Economic Literature,Thinking Small: Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty : Review Essay,['Mark R. Rosenzweig'],"In Poor Economics , Abhijit Banerjee and Esther Duflo eschew grand theorizing about poverty reduction in favor of an approach in which intelligently designed and tested small interventions, based on a scientific understanding of the lives of the poor, marginally improve their welfare. In so doing, they describe the findings from the recent large literature describing the behavior and institutions of the poor and the consequences of policy and experimental interventions targeted to poverty populations. In this review, I assess whether ""thinking small"" with its associated policy regime of transfers, subsidies, and nudges, is both a practical and effective policy prescription for ""fighting"" poverty and whether the set of studies that have focused on populations that have not escaped poverty has improved our fundamental understanding of both the consequences and causes of poverty. (JEL I32, I38, O15)","Mark R. Rosenzweig, 2012. ""Thinking Small: Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty : Review Essay,"" Journal of Economic Literature, American Economic Association, vol. 50(1), pages 115-127, March.",N\A,https://ideas.repec.org/a/aea/jeclit/v50y2012i1p115-27.html,"50(1), pages 115-127, March.", 10.1257/jel.50.1.115,2012
