journal,title,authors,abstract,cite,jel,url,vol,doi,year
Journal of Monetary Economics,A comment on “wealth inequality and endogenous growth” by Byoungchan Lee,"['Gu, Shijun', 'Jia, Chengcheng']","How does wealth inequality affect economic growth? Byoungchan Lee answers this question by developing a heterogeneous-agent model and augmenting it with endogenous firm innovation. The novel channel is that rising wealth concentration reduces aggregate demand, which gives firms a disincentive to spend on R&D and therefore leads to slower productivity growth. In this discussion, we first explain the difference in calibration strategy between Lee’s approach and the common approach in the literature, and then discuss its quantitative implications for the effect of rising inequality on aggregate consumption.","Gu, Shijun & Jia, Chengcheng, 2023. ""A comment on “wealth inequality and endogenous growth” by Byoungchan Lee,"" Journal of Monetary Economics, Elsevier, vol. 133(C), pages 149-155.",N\A,https://ideas.repec.org/a/eee/moneco/v133y2023icp149-155.html,"133(C), pages 149-155.", 10.1016/j.jmoneco.2022.11.006,2023
Journal of Monetary Economics,State dependence of fiscal multipliers: the source of fluctuations matters,"['Ghassibe, Mishel', 'Zanetti, Francesco']","We develop a general theory of state-dependent fiscal multipliers in a framework featuring two empirically relevant frictions: idle capacity and unsatisfied demand. Our key novel finding is that the source of fluctuations determines the cyclicality of multipliers. Policies that stimulate demand, such as government spending, have multipliers that are large in demand-driven recessions, but small and possibly negative in supply-driven downturns. Conversely, policies that boost supply, such as cuts in payroll taxes, are ineffective in demand-driven recessions, but powerful if the downturn is supply-driven. Austerity, implemented by a reduction in government consumption, can be the policy with the largest multiplier in supply-side recessions and demand-driven booms, provided elasticities of labor demand and supply are sufficiently low. We obtain model-free empirical support for our predictions by developing a novel econometric specification that allows to estimate spending and tax multipliers in recessions and expansions, conditional on those being either demand- or supply-driven.","Ghassibe, Mishel & Zanetti, Francesco, 2022. ""State dependence of fiscal multipliers: the source of fluctuations matters,"" Journal of Monetary Economics, Elsevier, vol. 132(C), pages 1-23.",N\A,https://ideas.repec.org/a/eee/moneco/v132y2022icp1-23.html,"132(C), pages 1-23.", 10.1016/j.jmoneco.2022.09.003,2022
Journal of Monetary Economics,A new approach to integrating expectations into VAR models,"['Doh, Taeyoung', 'Smith, A. Lee']","Expectations play a central role in macroeconomics. Expectations are empirically measured from surveys or financial markets and are frequently analyzed in Vector autoregressive (VAR) models alongside realized data of the same variable. However, this leads to two different expectations for the same variable: the VAR-based forecast and the external forecast. This paper proposes a Bayesian prior over the VAR parameters which allows for varying degrees of consistency between these two forecasts. As we demonstrate in two applications, our approach can sharpen structural VAR identification of forward guidance shocks and enhances VAR forecasts of inflation tail risks.","Doh, Taeyoung & Smith, A. Lee, 2022. ""A new approach to integrating expectations into VAR models,"" Journal of Monetary Economics, Elsevier, vol. 132(C), pages 24-43.",N\A,https://ideas.repec.org/a/eee/moneco/v132y2022icp24-43.html,"132(C), pages 24-43.", 10.1016/j.jmoneco.2022.08.001,2022
Journal of Monetary Economics,Are long-horizon expectations (de-)stabilizing? Theory and experiments,"['Evans, George W.', 'Hommes, Cars', 'McGough, Bruce', 'Salle, Isabelle']","The impact of finite forecasting horizons on price dynamics is examined in a standard infinite-horizon asset-pricing model. Our theoretical results link forecasting horizon inversely to expectational feedback, and predict a positive relationship between expectational feedback and various measures of asset-price volatility. We design a laboratory experiment to test these predictions. Consistent with our theory, short-horizon markets are prone to substantial and prolonged deviations from rational expectations, whereas markets with even a modest share of long-horizon forecasters exhibit convergence. Longer-horizon forecasts display more heterogeneity but also prevent coordination on incorrect anchors – a pattern that leads to mispricing in short-horizon markets.","Evans, George W. & Hommes, Cars & McGough, Bruce & Salle, Isabelle, 2022. ""Are long-horizon expectations (de-)stabilizing? Theory and experiments,"" Journal of Monetary Economics, Elsevier, vol. 132(C), pages 44-63.",N\A,https://ideas.repec.org/a/eee/moneco/v132y2022icp44-63.html,"132(C), pages 44-63.", 10.1016/j.jmoneco.2022.08.002,2022
Journal of Monetary Economics,Bubbly firm dynamics and aggregate fluctuations,"['Tang, Haozhou', 'Zhang, Donghai']","The transmission channel of asset bubbles is studied in a heterogeneous firm model with endogenous entry and exit. We highlight the effects of asset bubbles along the extensive margin: the aggregate bubble can boost real economic activities by affecting firms’ entry and exit decisions. Moreover, the model predicts the selection effect of bubbles: bubbly firms—firms with asset bubbles—are less productive than bubble-less firms. Finally, we provide empirical evidence that supports bubbles’ effects along the extensive margin.","Tang, Haozhou & Zhang, Donghai, 2022. ""Bubbly firm dynamics and aggregate fluctuations,"" Journal of Monetary Economics, Elsevier, vol. 132(C), pages 64-80.",N\A,https://ideas.repec.org/a/eee/moneco/v132y2022icp64-80.html,"132(C), pages 64-80.", 10.1016/j.jmoneco.2022.08.003,2022
Journal of Monetary Economics,State-level economic policy uncertainty,"['Baker, Scott R.', 'Davis, Steven J.', 'Levy, Jeffrey A.']","We quantify and study state-level economic policy uncertainty. Tapping digital archives for nearly 3500 local newspapers, we construct three monthly indexes for each state: one that captures state and local sources of policy uncertainty (EPU−S), one that captures national and international sources (EPU−N), and a composite index that captures both. EPU−S rises around gubernatorial elections and own-state episodes like the California electricity crisis of 2000–01 and the Kansas tax experiment of 2012. EPU−N rises around presidential elections and in response to 9–11, Gulf Wars I and II, the 2011 debt-ceiling crisis, the 2012 fiscal cliff episode, and federal government shutdowns. Close elections elevate policy uncertainty much more than the average election. VAR models fit to pre-COVID data imply that upward shocks to own-state EPU foreshadow weaker economic performance in the state, as do upward EPU shocks in contiguous states. The COVID-19 pandemic drove huge increases in policy uncertainty and unemployment, more so in states with stricter government-mandated lockdowns.","Baker, Scott R. & Davis, Steven J. & Levy, Jeffrey A., 2022. ""State-level economic policy uncertainty,"" Journal of Monetary Economics, Elsevier, vol. 132(C), pages 81-99.",N\A,https://ideas.repec.org/a/eee/moneco/v132y2022icp81-99.html,"132(C), pages 81-99.", 10.1016/j.jmoneco.2022.08.004,2022
Journal of Monetary Economics,College education and income contingent loans in equilibrium,"['Matsuda, Kazushige', 'Mazur, Karol']","In 2009 the US government introduced a major income-contingent loans (ICLs) program for financing higher education. We investigate its welfare implications in the presence of income shocks, and endogenous dropout risk and college enrollment. While ICLs provide valuable income insurance and thereby increase college enrollment by risk averse agents, they may also lead to adverse selection of individuals with lower ability and generate a moral hazard cost of lowering educational effort and labor hours. We evaluate this insurance-incentives trade-off in a calibrated heterogeneous agent model. We show that ICLs increase welfare and that the social costs of adverse selection and moral hazard are mild.","Matsuda, Kazushige & Mazur, Karol, 2022. ""College education and income contingent loans in equilibrium,"" Journal of Monetary Economics, Elsevier, vol. 132(C), pages 100-117.",N\A,https://ideas.repec.org/a/eee/moneco/v132y2022icp100-117.html,"132(C), pages 100-117.", 10.1016/j.jmoneco.2022.08.005,2022
Journal of Monetary Economics,Credit growth and the financial crisis: A new narrative,"['Albanesi, Stefania', 'DeGiorgi, Giacomo', 'Nosal, Jaromir']","Using a nationally representative panel of credit reports, we show that the 2001–2006 credit boom and the 2007–2009 rise in mortgage defaults were concentrated among prime borrowers. Life cycle effects and mortgage investor activity are primary factors behind the evolution of debt and default in this period. These results hold across geographical regions, suggesting other factors, such as demographics, may account for the positive correlation between the concentration of subprime borrowers, the rise in debt and severity of the recession. Our findings provide a new narrative that challenges the role of subprime credit in the housing boom and bust.","Albanesi, Stefania & DeGiorgi, Giacomo & Nosal, Jaromir, 2022. ""Credit growth and the financial crisis: A new narrative,"" Journal of Monetary Economics, Elsevier, vol. 132(C), pages 118-139.",N\A,https://ideas.repec.org/a/eee/moneco/v132y2022icp118-139.html,"132(C), pages 118-139.", 10.1016/j.jmoneco.2022.09.001,2022
Journal of Monetary Economics,"The case for a positive euro area inflation target: Evidence from france, germany and italy","['Adam, Klaus', 'Gautier, Erwan', 'Santoro, Sergio', 'Weber, Henning']","Using micro price data underlying the consumer price index, we estimate relative price trends over the product life cycle in France, Germany and Italy. Minimizing the welfare consequences of relative price distortions in the presence of these trends requires targeting a significantly positive inflation rate: the steady-state inflation rate jointly maximizing welfare in all three countries ranges between 1.1%-1.7%. The welfare costs of targeting an inflation rate of zero, as suggested by monetary models ignoring relative price trends, or of targeting 4% amount to several percentage points of consumption.","Adam, Klaus & Gautier, Erwan & Santoro, Sergio & Weber, Henning, 2022. ""The case for a positive euro area inflation target: Evidence from france, germany and italy,"" Journal of Monetary Economics, Elsevier, vol. 132(C), pages 140-153.",N\A,https://ideas.repec.org/a/eee/moneco/v132y2022icp140-153.html,"132(C), pages 140-153.", 10.1016/j.jmoneco.2022.09.002,2022
Journal of Monetary Economics,Stabilization with fiscal policy,"['Kocherlakota, Narayana R.']","There is a long-standing consensus view that macroeconomic stabilization should rely on monetary policy, not fiscal policy. This paper reconsiders this view using an analytically tractable heterogeneous agent New Keynesian (HANK) model that is parameterized so as to admit a bubble in public debt. In this context, it is possible to stabilize either inflation or output in response to aggregate shocks by varying only fiscal policy (that is, lump-sum uniform transfers). In contrast, when the public debt bubble is large, it is impossible to stabilize either inflation or output by varying only interest rates (monetary policy).","Kocherlakota, Narayana R., 2022. ""Stabilization with fiscal policy,"" Journal of Monetary Economics, Elsevier, vol. 131(C), pages 1-14.",N\A,https://ideas.repec.org/a/eee/moneco/v131y2022icp1-14.html,"131(C), pages 1-14.", 10.1016/j.jmoneco.2022.07.007,2022
Journal of Monetary Economics,The inexorable recoveries of unemployment,"['Hall, Robert E.', 'Kudlyak, Marianna']","Unemployment recoveries in the US have been inexorable. In the aftermath of a recession, unless another crisis intervenes, unemployment continues to glide down. Between 1948 and 2019, the annual reduction in the unemployment rate during cyclical recoveries was distributed around 0.1 log points per year. The economy seems to have an irresistible force toward restoring full employment. Occasionally, unemployment rises rapidly during an economic crisis, while most of the time, unemployment declines slowly and smoothly at a near-constant proportional rate. Similar properties hold for other measures of the US unemployment rate and for unemployment in emerging and advanced countries.","Hall, Robert E. & Kudlyak, Marianna, 2022. ""The inexorable recoveries of unemployment,"" Journal of Monetary Economics, Elsevier, vol. 131(C), pages 15-25.",N\A,https://ideas.repec.org/a/eee/moneco/v131y2022icp15-25.html,"131(C), pages 15-25.", 10.1016/j.jmoneco.2022.06.003,2022
Journal of Monetary Economics,Employment and the residential collateral channel of monetary policy,"['Bahaj, Saleem', 'Foulis, Angus', 'Pinter, Gabor', 'Surico, Paolo']","Using micro-data covering private and public UK firms, we document heterogeneous responses to monetary policy; finding that employment at younger, more-levered firms is most sensitive. This heterogeneity is consistent with firm-level financial constraints. To show this, we exploit the fact that the homes of company directors are a key source of corporate collateral, but many directors live in a different region to their firm, allowing specifications controlling for demand. Younger, more-levered firms exposed to collateral fluctuations drive the employment response, showing a residential collateral channel in the transmission of monetary policy to firms.","Bahaj, Saleem & Foulis, Angus & Pinter, Gabor & Surico, Paolo, 2022. ""Employment and the residential collateral channel of monetary policy,"" Journal of Monetary Economics, Elsevier, vol. 131(C), pages 26-44.",N\A,https://ideas.repec.org/a/eee/moneco/v131y2022icp26-44.html,"131(C), pages 26-44.", 10.1016/j.jmoneco.2022.07.002,2022
Journal of Monetary Economics,What goes around comes around: How large are spillbacks from US monetary policy?,"['Breitenlechner, Max', 'Georgiadis, Georgios', 'Schumann, Ben']","Spillovers from US monetary policy entail spillbacks to the domestic economy. Applying counterfactual analyses in a Bayesian proxy structural vector-autoregressive model we find that spillbacks account for a non-trivial share of the slowdown in domestic real activity following a contractionary US monetary policy shock. Spillbacks materialise as a monetary policy tightening depresses foreign sales and valuations of US firms so that Tobin’s q/cash flow and stock market wealth effects impinge on investment and consumption. Net trade does not contribute to spillbacks because US monetary policy affects exports and imports similarly. Geographically, spillbacks materialise through advanced rather than emerging market economies.","Breitenlechner, Max & Georgiadis, Georgios & Schumann, Ben, 2022. ""What goes around comes around: How large are spillbacks from US monetary policy?,"" Journal of Monetary Economics, Elsevier, vol. 131(C), pages 45-60.",N\A,https://ideas.repec.org/a/eee/moneco/v131y2022icp45-60.html,"131(C), pages 45-60.", 10.1016/j.jmoneco.2022.07.001,2022
Journal of Monetary Economics,Recessions and the stock market,"['Kroencke, Tim A.']","An event study approach is adopted to investigate the drivers of the stock market around recessions. First, stock prices and dividends drop contemporaneously when accounting for different timing conventions. Accordingly, stock prices do not anticipate recessions due to an economic mechanism (cash flow news). Second, the variance of price changes increases at least as much as the variance of dividend growth during recessions. This result suggests that changes in the price of risk (discount rate news) play an essential role. Implications and opportunities for standard asset pricing theories and recently proposed alternatives are also discussed.","Kroencke, Tim A., 2022. ""Recessions and the stock market,"" Journal of Monetary Economics, Elsevier, vol. 131(C), pages 61-77.",N\A,https://ideas.repec.org/a/eee/moneco/v131y2022icp61-77.html,"131(C), pages 61-77.", 10.1016/j.jmoneco.2022.07.004,2022
Journal of Monetary Economics,Efficient redistribution,"['Boar, Corina', 'Midrigan, Virgiliu']","What is the optimal shape of non-linear income and wealth taxes? We answer this question using a dynamic general equilibrium model with uninsurable idiosyncratic risk. Our analysis reproduces the distribution of income and wealth in the United States and takes into account the long-lived transition dynamics after policy reforms. We find that a uniform flat tax on capital and labor income combined with a lump-sum transfer is nearly optimal. The incremental welfare gains from steeper marginal income and wealth taxes are small, especially when the planner has a strong preference for redistribution, due to strong behavioral and general equilibrium effects.","Boar, Corina & Midrigan, Virgiliu, 2022. ""Efficient redistribution,"" Journal of Monetary Economics, Elsevier, vol. 131(C), pages 78-91.",N\A,https://ideas.repec.org/a/eee/moneco/v131y2022icp78-91.html,"131(C), pages 78-91.", 10.1016/j.jmoneco.2022.07.003,2022
Journal of Monetary Economics,"How sovereign is sovereign credit risk? Global prices, local quantities","['Augustin, Patrick', 'Sokolovski, Valeri', 'Subrahmanyam, Marti G.', 'Tomio, Davide']","Price fluctuations of sovereign default insurance are dominated by common risks. In contrast, fluctuations in their quantities are primarily explained by country-specific factors. Using net positions in sovereign default insurance contracts for 60 countries between 2008 and 2015, we show that a country’s debt and size explain 75% of cross-country differences in net insured interest. We develop an economic framework showing that high co-movement in prices and low co-movement in quantities can arise jointly only if insurance demand and supply shift in opposite directions in response to global shocks. Positions data support that this evidence is more salient for more intermediated assets.","Augustin, Patrick & Sokolovski, Valeri & Subrahmanyam, Marti G. & Tomio, Davide, 2022. ""How sovereign is sovereign credit risk? Global prices, local quantities,"" Journal of Monetary Economics, Elsevier, vol. 131(C), pages 92-111.",N\A,https://ideas.repec.org/a/eee/moneco/v131y2022icp92-111.html,"131(C), pages 92-111.", 10.1016/j.jmoneco.2022.07.005,2022
Journal of Monetary Economics,Austerity and distributional policy,"['Alpino, Matteo', 'Asatryan, Zareh', 'Blesse, Sebastian', 'Wehrhöfer, Nils']","How does fiscal austerity affect redistributive policies? We document that during austerity episodes, countries tend to increase marginal income tax rates on top earners, but not on average earners. We then show that, in response to an exogenously imposed fiscal rule, Italian municipalities increase local non-linear income taxes progressively. They do not adjust other fiscal policies. College-educated mayors are more likely than less educated mayors to implement progressive reforms, and they perform better in the upcoming election. Survey evidence suggests that the differential policy response can be explained by college-educated mayors being more informed about the available policy options.","Alpino, Matteo & Asatryan, Zareh & Blesse, Sebastian & Wehrhöfer, Nils, 2022. ""Austerity and distributional policy,"" Journal of Monetary Economics, Elsevier, vol. 131(C), pages 112-127.",N\A,https://ideas.repec.org/a/eee/moneco/v131y2022icp112-127.html,"131(C), pages 112-127.", 10.1016/j.jmoneco.2022.07.006,2022
Journal of Monetary Economics,A natural level of capital flows,"['Burger, John D.', 'Warnock, Francis E.', 'Warnock, Veronica Cacdac']","International portfolio flows converge in the medium run to a country-specific, supply-side estimate of their natural level. Our estimate of the natural level of capital flows, KF*, has impressive out-of-sample empirical features, greatly improves our ability to model notoriously volatile capital flows and performs well against out-of-sample and in-sample filtering techniques. Further, the gap between actual inflows and KF* helps predict sudden stop episodes, equity returns, and capital flows during the two largest shocks of the past few decades: the global financial crisis and the Covid-19 shock.","Burger, John D. & Warnock, Francis E. & Warnock, Veronica Cacdac, 2022. ""A natural level of capital flows,"" Journal of Monetary Economics, Elsevier, vol. 130(C), pages 1-16.",N\A,https://ideas.repec.org/a/eee/moneco/v130y2022icp1-16.html,"130(C), pages 1-16.", 10.1016/j.jmoneco.2022.05.009,2022
Journal of Monetary Economics,How much consumption insurance in the U.S.?,"['Hryshko, Dmytro', 'Manovskii, Iourii']","We identify two sets of households in the Panel Study of Income Dynamics (PSID) differing dramatically in their income and consumption dynamics, although both should be equally representative. The degree of consumption insurance in each subsample is consistent with the standard incomplete-markets model’s prediction. We contrast PSID and administrative earnings data and study the patterns in international datasets modeled on the PSID. We find an important role of differential attrition based on the dynamic properties of incomes in inducing the differences and identify PSID households providing a better guide to income dynamics and consumption insurance in the U.S.","Hryshko, Dmytro & Manovskii, Iourii, 2022. ""How much consumption insurance in the U.S.?,"" Journal of Monetary Economics, Elsevier, vol. 130(C), pages 17-33.",N\A,https://ideas.repec.org/a/eee/moneco/v130y2022icp17-33.html,"130(C), pages 17-33.", 10.1016/j.jmoneco.2022.05.003,2022
Journal of Monetary Economics,Cross country stock market comovement: A macro perspective,"['Anagnostopoulos, Alexios', 'Atesagaoglu, Orhan Erem', 'Faraglia, Elisa', 'Giannitsarou, Chryssi']","Since the 1990s, there has been a simultaneous rise in cross-country stock market correlations and FDI positions. We establish an empirical relationship between these two, for pairs of developed economies that survives controlling for relevant factors. At firm level, we find that stock returns of multinationals that invest in technology capital are more correlated with world stock markets. Using a calibrated two-country asset pricing model with multinationals, we find that the increase in FDI accounts for one third of the rise in the observed stock market correlations. When allowing for increases in trade and portfolio diversification, we find that these two factors do not generate an increase in stock market correlations.","Anagnostopoulos, Alexios & Atesagaoglu, Orhan Erem & Faraglia, Elisa & Giannitsarou, Chryssi, 2022. ""Cross country stock market comovement: A macro perspective,"" Journal of Monetary Economics, Elsevier, vol. 130(C), pages 34-48.",N\A,https://ideas.repec.org/a/eee/moneco/v130y2022icp34-48.html,"130(C), pages 34-48.", 10.1016/j.jmoneco.2022.05.005,2022
Journal of Monetary Economics,Monetary Policy and Bank Equity Values in a Time of Low and Negative Interest Rates,"['Ampudia, Miguel', 'Van den Heuvel, Skander J.']","Does banks’ exposure to interest rate risk change when interest rates are very low or negative? Using a high-frequency event study methodology and intraday data, we find that the effect of surprise interest rate cuts by the ECB on European bank equity values – an effect that is normally positive – has become negative since interest rates in the euro area reached zero and below. This ‘reversal’ was far more pronounced for banks with a more deposit-intensive funding mix. We argue that these results can be explained by the zero lower bound on interest rates on retail deposits.","Ampudia, Miguel & Van den Heuvel, Skander J., 2022. ""Monetary Policy and Bank Equity Values in a Time of Low and Negative Interest Rates,"" Journal of Monetary Economics, Elsevier, vol. 130(C), pages 49-67.",N\A,https://ideas.repec.org/a/eee/moneco/v130y2022icp49-67.html,"130(C), pages 49-67.", 10.1016/j.jmoneco.2022.05.006,2022
