journal,title,authors,volume,jel,abstract,url,doi
Econometrica,Counterfactual Sensitivity and Robustness,"['Timothy Christensen', 'Benjamin Connault']","2023, vol. 91, issue 1, 263-298",[],"Abstract: We propose a framework for analyzing the sensitivity of counterfactuals to parametric assumptions about the distribution of latent variables in structural models. In particular, we derive bounds on counterfactuals as the distribution of latent variables spans nonparametric neighborhoods of a given parametric specification while other “structural” features of the model are maintained. Our approach recasts the infinite‐dimensional problem of optimizing the counterfactual with respect to the distribution of latent variables (subject to model constraints) as a finite‐dimensional convex program. We also develop an MPEC version of our method to further simplify computation in models with endogenous parameters (e.g., value functions) defined by equilibrium constraints. We propose plug‐in estimators of the bounds and two methods for inference. We also show that our bounds converge to the sharp nonparametric bounds on counterfactuals as the neighborhood size becomes large. To illustrate the broad applicability of our procedure, we present empirical applications to matching models with transferable utility and dynamic discrete choice models.",https://econpapers.repec.org/article/wlyemetrp/v_3a91_3ay_3a2023_3ai_3a1_3ap_3a263-298.htm,https://doi.org/10.3982/ECTA17232
Econometrica,Inference for Large‐Scale Linear Systems With Known Coefficients,"['Zheng Fang', 'Andres Santos', 'Azeem M. Shaikh', 'Alexander Torgovitsky']","2023, vol. 91, issue 1, 299-327",[],"Abstract: This paper considers the problem of testing whether there exists a non‐negative solution to a possibly under‐determined system of linear equations with known coefficients. This hypothesis testing problem arises naturally in a number of settings, including random coefficient, treatment effect, and discrete choice models, as well as a class of linear programming problems. As a first contribution, we obtain a novel geometric characterization of the null hypothesis in terms of identified parameters satisfying an infinite set of inequality restrictions. Using this characterization, we devise a test that requires solving only linear programs for its implementation, and thus remains computationally feasible in the high‐dimensional applications that motivate our analysis. The asymptotic size of the proposed test is shown to equal at most the nominal level uniformly over a large class of distributions that permits the number of linear equations to grow with the sample size.",https://econpapers.repec.org/article/wlyemetrp/v_3a91_3ay_3a2023_3ai_3a1_3ap_3a299-327.htm,https://doi.org/10.3982/ECTA18979
Econometrica,Corrigendum to “On the Existence of Pure and Mixed Strategy Nash Equilibrium in Discontinuous Games”,"['Christian Ewerhart', 'Philip J. Reny']","2022, vol. 90, issue 6, 1-2",[],,https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a6_3ap_3a1-2.htm,https://doi.org/10.3982/ECTA20900
Econometrica,Empirical Strategies in Economics: Illuminating the Path From Cause to Effect,['Joshua Angrist'],"2022, vol. 90, issue 6, 2509-2539",[],"Abstract: The view that empirical strategies in economics should be transparent and credible now goes almost without saying. By revealing for whom particular instrumental variables (IV) estimates are valid, the local average treatment effects (LATE) framework helped make this so. This lecture uses empirical examples, mostly involving effects of charter and exam school attendance, to illustrate the value of the LATE framework for causal inference. LATE distinguishes independence conditions satisfied by random assignment from more controversial exclusion restrictions. A surprising exclusion restriction is shown to explain why enrollment at Chicago exam schools reduces student achievement. I also make two broader points: IV exclusion restrictions formalize commitment to clear and consistent explanations of reduced‐form causal effects; the credibility revolution in applied econometrics owes at least as much to compelling empirical analyses as to methodological insights.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a6_3ap_3a2509-2539.htm,https://doi.org/10.3982/ECTA20640
Econometrica,Causality in Econometrics: Choice vs Chance,['Guido W. Imbens'],"2022, vol. 90, issue 6, 2541-2566",[],"Abstract: This essay describes the evolution and recent convergence of two methodological approaches to causal inference. The first one, in statistics, started with the analysis and design of randomized experiments. The second, in econometrics, focused on settings with economic agents making optimal choices. I argue that the local average treatment effects framework facilitated the recent convergence by making key assumptions transparent and intelligible to scholars in many fields. Looking ahead, I discuss recent developments in causal inference that combine the same transparency and relevance.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a6_3ap_3a2541-2566.htm,https://doi.org/10.3982/ECTA21204
Econometrica,Robust Empirical Bayes Confidence Intervals,"['Timothy B. Armstrong', 'Michal Kolesár', 'Mikkel Plagborg‐Møller', 'Mikkel Plagborg-Moller']","2022, vol. 90, issue 6, 2567-2602",[],"Abstract: We construct robust empirical Bayes confidence intervals (EBCIs) in a normal means problem. The intervals are centered at the usual linear empirical Bayes estimator, but use a critical value accounting for shrinkage. Parametric EBCIs that assume a normal distribution for the means (Morris (1983b)) may substantially undercover when this assumption is violated. In contrast, our EBCIs control coverage regardless of the means distribution, while remaining close in length to the parametric EBCIs when the means are indeed Gaussian. If the means are treated as fixed, our EBCIs have an average coverage guarantee: the coverage probability is at least 1 − α on average across the n EBCIs for each of the means. Our empirical application considers the effects of U.S. neighborhoods on intergenerational mobility.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a6_3ap_3a2567-2602.htm,https://doi.org/10.3982/ECTA18597
Econometrica,General Equilibrium Effects of Cash Transfers: Experimental Evidence From Kenya,"['Dennis Egger', 'Johannes Haushofer', 'Edward Miguel', 'Paul Niehaus', 'Michael Walker']","2022, vol. 90, issue 6, 2603-2643",[],"Abstract: How large economic stimuli generate individual and aggregate responses is a central question in economics, but has not been studied experimentally. We provided one‐time cash transfers of about USD 1000 to over 10,500 poor households across 653 randomized villages in rural Kenya. The implied fiscal shock was over 15 percent of local GDP. We find large impacts on consumption and assets for recipients. Importantly, we document large positive spillovers on non‐recipient households and firms, and minimal price inflation. We estimate a local transfer multiplier of 2.5. We interpret welfare implications through the lens of a simple household optimization framework.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a6_3ap_3a2603-2643.htm,https://doi.org/10.3982/ECTA17945
Econometrica,Uneven Growth: Automation's Impact on Income and Wealth Inequality,"['Benjamin Moll', 'Lukasz Rachel', 'Pascual Restrepo']","2022, vol. 90, issue 6, 2645-2683",[],"Abstract: The benefits of new technologies accrue not only to high‐skilled labor but also to owners of capital in the form of higher capital incomes. This increases inequality. To make this argument, we develop a tractable theory that links technology to the distribution of income and wealth—and not just that of wages—and use it to study the distributional effects of automation. We isolate a new theoretical mechanism: automation increases inequality by raising returns to wealth. The flip side of such return movements is that automation can lead to stagnant wages and, therefore, stagnant incomes at the bottom of the distribution. We use a multiasset model extension to confront differing empirical trends in returns to productive and safe assets and show that the relevant return measures have increased over time. Automation can account for part of the observed trends in income and wealth inequality.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a6_3ap_3a2645-2683.htm,https://doi.org/10.3982/ECTA19417
Econometrica,"Multinationals, Monopsony, and Local Development: Evidence From the United Fruit Company","['Esteban Méndez', 'Diana  Van Patten']","2022, vol. 90, issue 6, 2685-2721",[],"Abstract: This paper studies the role of private sector companies in the development of local amenities. We use evidence from one of the largest multinationals of the 20th century: the United Fruit Company (UFCo). The firm was given a large land concession in Costa Rica—one of the so‐called “Banana Republics”—from 1899 to 1984. Using administrative census data with census‐block geo‐references from 1973 to 2011, we implement a geographic regression discontinuity design that exploits a land assignment that is orthogonal to our outcomes of interest. We find that the firm had a positive and persistent effect on living standards. Company documents explain that a key concern at the time was to attract and maintain a sizable workforce, which induced the firm to invest heavily in local amenities—like the development of education and health infrastructure—that can account for our result. Consistent with this mechanism, we show, empirically and through a proposed model, that the firm's investment efforts increase with worker mobility.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a6_3ap_3a2685-2721.htm,https://doi.org/10.3982/ECTA19514
Econometrica,Market Competition and Political Influence: An Integrated Approach,"['Steven Callander', 'Dana Foarta', 'Takuo Sugaya']","2022, vol. 90, issue 6, 2723-2753",[],"Abstract: The operation of markets and of politics are in practice deeply intertwined. Political decisions set the rules of the game for market competition and, conversely, market competitors participate in and influence political decisions. We develop an integrated model to capture the circularity between the two domains. We show that a positive feedback loop emerges such that market power begets political power, and political power begets market power, but that this feedback loop is bounded. With too much market power, the balance between politics and markets itself becomes lopsided and this drives a wedge between the interests of a policymaker and the dominant firm. Although such a wedge would seem pro‐competitive, we show how it can exacerbate the static and dynamic inefficiency of market outcomes. More generally, our model demonstrates that intuitions about market competition can be upended when competition is intermediated by a strategic policymaker.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a6_3ap_3a2723-2753.htm,https://doi.org/10.3982/ECTA19775
Econometrica,"Productivity Dispersion, Between‐Firm Competition, and the Labor Share",['Émilien Gouin‐Bonenfant'],"2022, vol. 90, issue 6, 2755-2793",[],"Abstract: I study the effect of labor market imperfections on the labor share in a tractable model that emphasizes the interaction between productivity dispersion and firm competition for workers. I calibrate the model using administrative data covering the universe of firms in Canada from 2000 to 2015. As in the data, most firms have a high labor share, yet the aggregate labor share is low due to the disproportionate effect of a small fraction of large, highly productive firms. I find that a rise in the dispersion of firm productivity causes the aggregate labor share to decline in favor of firm profits. The mechanism is that productivity dispersion effectively shields high‐productivity firms from wage competition. Regression evidence from cross‐country and cross‐industry data supports both the model prediction and mechanism.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a6_3ap_3a2755-2793.htm,https://doi.org/10.3982/ECTA18612
Econometrica,The Converse Envelope Theorem,['Ludvig Sinander'],"2022, vol. 90, issue 6, 2795-2819",[],"Abstract: I prove an envelope theorem with a converse: the envelope formula is equivalent to a first‐order condition. Like Milgrom and Segal's (2002) envelope theorem, my result requires no structure on the choice set. I use the converse envelope theorem to extend to general outcomes and preferences the canonical result in mechanism design that any increasing allocation is implementable, and apply this to selling information.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a6_3ap_3a2795-2819.htm,https://doi.org/10.3982/ECTA18119
Econometrica,A Negishi Approach to Recursive Contracts,"['Gaetano Bloise', 'Paolo Siconolfi']","2022, vol. 90, issue 6, 2821-2855",[],"Abstract: In this paper, we argue that a large class of recursive contracts can be studied by means of the conventional Negishi method. A planner is responsible for prescribing current actions along with a distribution of future utility values to all agents, so as to maximize their weighted sum of utilities. Under convexity, the method yields the exact efficient frontier. Otherwise, the implementation requires contracts be contingent on publicly observable random signals uncorrelated to fundamentals. We also provide operational first‐order conditions for the characterization of efficient contracts. Finally, we compare extensively our approach with the dual method established in the literature.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a6_3ap_3a2821-2855.htm,https://doi.org/10.3982/ECTA18310
Econometrica,Learning From Reviews: The Selection Effect and the Speed of Learning,"['Daron Acemoglu', 'Ali Makhdoumi', 'Azarakhsh Malekian', 'Asuman Ozdaglar']","2022, vol. 90, issue 6, 2857-2899",[],"Abstract: This paper develops a model of Bayesian learning from online reviews and investigates the conditions for learning the quality of a product and the speed of learning under different rating systems. A rating system provides information about reviews left by previous customers. observe the ratings of a product and decide whether to purchase and review it. We study learning dynamics under two classes of rating systems: full history, where customers see the full history of reviews, and summary statistics, where the platform reports some summary statistics of past reviews. In both cases, learning dynamics are complicated by a selection effect—the types of users who purchase the good, and thus their overall satisfaction and reviews depend on the information available at the time of purchase. We provide conditions for complete learning and characterize and compare its speed under full history and summary statistics. We also show that providing more information does not always lead to faster learning, but strictly finer rating systems do.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a6_3ap_3a2857-2899.htm,https://doi.org/10.3982/ECTA15847
Econometrica,Spatial Correlation Robust Inference,"['Ulrich K. Müller', 'Mark W. Watson']","2022, vol. 90, issue 6, 2901-2935",[],"Abstract: We propose a method for constructing confidence intervals that account for many forms of spatial correlation. The interval has the familiar “estimator plus and minus a standard error times a critical value” form, but we propose new methods for constructing the standard error and the critical value. The standard error is constructed using population principal components from a given “worst‐case” spatial correlation model. The critical value is chosen to ensure coverage in a benchmark parametric model for the spatial correlations. The method is shown to control coverage in finite sample Gaussian settings in a restricted but nonparametric class of models and in large samples whenever the spatial correlation is weak, that is, with average pairwise correlations that vanish as the sample size gets large. We also provide results on the efficiency of the method.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a6_3ap_3a2901-2935.htm,https://doi.org/10.3982/ECTA19465
Econometrica,Achieving Scale Collectively,"['Vittorio Bassi', 'Raffaela Muoio', 'Tommaso Porzio', 'Ritwika Sen', 'Esau Tugume']","2022, vol. 90, issue 6, 2937-2978",[],"Abstract: Many firms in developing countries could be too small to adopt modern technology embodied in expensive production machines. This paper shows that rental market interactions allow these small firms to increase their effective scale and mechanize production. We conduct a survey of manufacturing firms in Uganda, which uncovers an active rental market for large machines between small firms in informal clusters. We then build an equilibrium model of firm behavior and estimate it with our data. We find that the rental market is quantitatively important for mechanization and productivity since it provides a workaround for other market imperfections that keep firms small. The rental market also shapes the effectiveness of development policies to foster mechanization, such as subsidies to purchase machines. Overall, our results point to the importance of taking into account firm‐to‐firm interactions within informal clusters to understand technology adoption in low income countries: focusing on the small scale of firms in isolation might be misleading.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a6_3ap_3a2937-2978.htm,https://doi.org/10.3982/ECTA18773
Econometrica,Gender Differences in Peer Recognition by Economists,"['David Card', 'Stefano DellaVigna', 'Patricia Funk', 'Nagore Iriberri']","2022, vol. 90, issue 5, 1937-1971",[],"Abstract: We study the selection of Fellows of the Econometric Society, using a new data set of publications and citations for over 40,000 actively publishing economists since the early 1900s. Conditional on achievement, we document a large negative gap in the probability that women were selected as Fellows in the 1933–1979 period. This gap became positive (though not statistically significant) from 1980 to 2010, and in the past decade has become large and highly significant, with over a 100% increase in the probability of selection for female authors relative to males with similar publications and citations. The positive boost affects highly qualified female candidates (in the top 10% of authors) with no effect for the bottom 90%. Using nomination data for the past 30 years, we find a key proximate role for the Society's Nominating Committee in this shift. Since 2012, the Committee has had an explicit mandate to nominate highly qualified women, and its nominees enjoy above‐average election success (controlling for achievement). Looking beyond gender, we document similar shifts in the premium for geographic diversity: in the mid‐2000s, both the Fellows and the Nominating Committee became significantly more likely to nominate and elect candidates from outside the United States. Finally, we examine gender gaps in several other major awards for U.S. economists. We show that the gaps in the probability of selection of new fellows of the American Academy of Arts and Sciences and the National Academy of Sciences closely parallel those of the Econometric Society, with historically negative penalties for women turning to positive premiums in recent years.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a5_3ap_3a1937-1971.htm,https://doi.org/10.3982/ECTA18027
Econometrica,"Tasks, Automation, and the Rise in U.S. Wage Inequality","['Daron Acemoglu', 'Pascual Restrepo']","2022, vol. 90, issue 5, 1973-2016",[],"Abstract: We document that between 50% and 70% of changes in the U.S. wage structure over the last four decades are accounted for by relative wage declines of worker groups specialized in routine tasks in industries experiencing rapid automation. We develop a conceptual framework where tasks across industries are allocated to different types of labor and capital. Automation technologies expand the set of tasks performed by capital, displacing certain worker groups from jobs for which they have comparative advantage. This framework yields a simple equation linking wage changes of a demographic group to the task displacement it experiences. We report robust evidence in favor of this relationship and show that regression models incorporating task displacement explain much of the changes in education wage differentials between 1980 and 2016. The negative relationship between wage changes and task displacement is unaffected when we control for changes in market power, deunionization, and other forms of capital deepening and technology unrelated to automation. We also propose a methodology for evaluating the full general equilibrium effects of automation, which incorporate induced changes in industry composition and ripple effects due to task reallocation across different groups. Our quantitative evaluation explains how major changes in wage inequality can go hand‐in‐hand with modest productivity gains.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a5_3ap_3a1973-2016.htm,https://doi.org/10.3982/ECTA19815
Econometrica,Preparing for the Worst but Hoping for the Best: Robust (Bayesian) Persuasion,"['Piotr Dworczak', 'Alessandro Pavan']","2022, vol. 90, issue 5, 2017-2051",[],"Abstract: We propose a robust solution concept for Bayesian persuasion that accounts for the Sender's concern that her Bayesian belief about the environment—which we call the conjecture—may be false. Specifically, the Sender is uncertain about the exogenous sources of information the Receivers may learn from, and about strategy selection. She first identifies all information policies that yield the largest payoff in the “worst‐case scenario,” that is, when Nature provides information and coordinates the Receivers' play to minimize the Sender's payoff. Then she uses the conjecture to pick the optimal policy among the worst‐case optimal ones. We characterize properties of robust solutions, identify conditions under which robustness requires separation of certain states, and qualify in what sense robustness calls for more information disclosure than standard Bayesian persuasion. Finally, we discuss how some of the results in the Bayesian persuasion literature change once robustness is accounted for, and develop a few new applications.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a5_3ap_3a2017-2051.htm,https://doi.org/10.3982/ECTA19107
Econometrica,Volatility and the Gains From Trade,"['Treb Allen', 'David Atkin']","2022, vol. 90, issue 5, 2053-2092",[],"Abstract: Trade liberalization changes the volatility of returns by reducing the negative correlation between local prices and productivity shocks. In this paper, we explore these second‐moment effects of trade. Using forty years of agricultural micro‐data from India, we show that falling trade costs due to expansions of the Indian highway network reduced the responsiveness of local prices to local yields but increased the responsiveness of local prices to yields elsewhere. In response, farmers shifted their production toward crops with less volatile yields, especially so for those with poor access to risk mitigating technologies such as banks. We then characterize how volatility affects farmers' crop allocation using a portfolio choice framework where returns are determined in general equilibrium by a many‐location, many‐good Ricardian trade model with flexible trade costs. Finally, we structurally estimate the model—recovering farmers' risk‐return preferences from the gradient of the mean‐variance frontier at their observed crop choices—to quantify the second‐moment effects of trade. The simultaneous expansion of both the highway and rural bank networks increased the mean and the variance of farmer real income, with the first‐moment effect dominating such that expected welfare rose 4.4%. But had rural bank access remained unchanged, welfare gains would have been only half as great, as risk mitigating technologies allowed farmers to take advantage of higher‐risk higher‐return allocations.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a5_3ap_3a2053-2092.htm,https://doi.org/10.3982/ECTA14411
Econometrica,Fiscal Rules and Discretion Under Limited Enforcement,"['Marina Halac', 'Pierre Yared']","2022, vol. 90, issue 5, 2093-2127",[],"Abstract: We study a fiscal policy model in which the government is present‐biased towards public spending. Society chooses a fiscal rule to trade off the benefit of committing the government to not overspend against the benefit of granting it flexibility to react to privately observed shocks to the value of spending. Unlike prior work, we examine rules under limited enforcement: the government has full policy discretion and can only be incentivized to comply with a rule via the use of penalties which are joint and bounded. We show that optimal incentives must be bang‐bang. Moreover, under a distributional condition, the optimal rule is a maximally enforced deficit limit, triggering the maximum feasible penalty whenever violated. Violation optimally occurs under high enough shocks if and only if available penalties are weak and such shocks are relatively unlikely. We derive comparative statics showing how rules should be calibrated to features of the environment.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a5_3ap_3a2093-2127.htm,https://doi.org/10.3982/ECTA16962
Econometrica,A General Framework for Robust Contracting Models,"['Daniel Walton', 'Gabriel Carroll']","2022, vol. 90, issue 5, 2129-2159",[],"Abstract: We study a class of models of moral hazard in which a principal contracts with a counterparty, which may have its own internal organizational structure. The principal has non‐Bayesian uncertainty as to what actions might be taken in response to the contract, and wishes to maximize her worst‐case payoff. We identify conditions on the counterparty's possible responses to any given contract that imply that a linear contract solves this maxmin problem. In conjunction with a Richness property motivated by much previous literature, we identify a Responsiveness property that is sufficient—and, in an appropriate sense, also necessary—to ensure that linear contracts are optimal. We illustrate by contrasting several possible models of contracting in hierarchies. The analysis demonstrates how one can distill key features of contracting models that allow their findings to be carried beyond the bilateral setting.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a5_3ap_3a2129-2159.htm,https://doi.org/10.3982/ECTA17386
Econometrica,Full Information Equivalence in Large Elections,"['Paulo Barelli', 'Sourav Bhattacharya', 'Lucas Siga']","2022, vol. 90, issue 5, 2161-2185",[],"Abstract: We study the problem of aggregating private information in elections with two or more alternatives for a large family of scoring rules. We introduce a feasibility condition, the linear refinement condition, that characterizes when information can be aggregated asymptotically as the electorate grows large: there must exist a utility function, linear in distributions over signals, sharing the same top alternative as the primitive utility function. Our results complement the existing work where strong assumptions are imposed on the environment, and caution against potential false positives when too much structure is imposed.",https://econpapers.repec.org/article/wlyemetrp/v_3a90_3ay_3a2022_3ai_3a5_3ap_3a2161-2185.htm,https://doi.org/10.3982/ECTA16376
