affiliationid,,email,match_score,,Rank,name,univer_ins,decision,result
uow.uw.edu.pl,,uw.edu.pl,0.883333333,,77,University of Warsaw,University of Warwick,,
wc.wabash.edu,,wabash.edu,0.776190476,,100,Wabash College,Boston College,,
uoa.adelaide.edu.au,,adelaide.edu.au,0.79,,416,University of Adelaide,University of Alberta,,
obu.brookes.ac.uk,,brookes.ac.uk,0.893333333,,28,Oxford Brookes University,Oxford University,,
cu.curtin.edu.au,,curtin.edu.au,1,,399,Curtin University,Curtin University,TRUE,399
emu.emu.edu.tr,,emu.edu.tr,0.727272727,,331,Eastern Mediterranean University,Lebanese American University,,
uond.und.edu,,und.edu,0.856349206,,69,University of North Dakota,University of Notre Dame,,
sooaasl.soas.ac.uk,,soas.ac.uk,0.750649351,,194,"School of Oriental and African Studies, London",University of Hong Kong,,
du.deakin.edu.au,,deakin.edu.au,1,,140,Deakin University,Deakin University,TRUE,140
naot.sinica.edu.tw,,sinica.edu.tw,0.835,,271,National Academy of Taiwan,National University of Singapore,,
emu.emich.edu,,emich.edu,0.752052958,,331,Eastern Michigan University,Lebanese American University,,
ftc.ftc.gov,,ftc.gov,0.831379585,,75,Federal Trade Commission,Federal Reserve Bank of Minneapolis,,
iiomc.iimcal.ac.in,,iimcal.ac.in,0.733333333,,416,"Indian Institute of Management, Calcutta",University of Alberta,,
iiot.iit.edu,,iit.edu,0.858467433,,78,Illinois Institute of Technology,Beijing Institute of Technology,,
su.uni-saarland.de,,uni-saarland.de,0.755555556,,113,Saarland University,University of Maryland,,
nuoeat.neduet.edu.pk,,neduet.edu.pk,0.683326319,,206,NED University of Engineering and Technology,African Governance and Development Institute,,
utp.petronas.com.my,,petronas.com.my,0.887931034,,172,Universiti Teknologi PETRONAS,Universitetet i Oslo,,
sns.sns.it,,sns.it,0.841329285,,273,Scuola Normale Superiore,Scuola Superiore Sant'Anna,,
bu.uni-bielefeld.de,,uni-bielefeld.de,0.657142857,,326,Bielefeld University,McGill University,,
uot.uni-tuebingen.de,,uni-tuebingen.de,0.772121212,,96,University of Tübingen,University of Cambridge,,
uom.unimib.it,,unimib.it,0.846428571,,504,University of Milano-Bicocca,University of Miami,,
uos.unisi.it,,unisi.it,0.8,,54,University of Siena,University of Southern California,,
uov.univr.it,,univr.it,0.848333333,,182,University of Verona,University of Virginia,,
updo.upo.es,,upo.es,0.923756614,,249,Universidad Pablo de Olavide,Universidade Nova de Lisboa,,
uot.utwente.nl,,utwente.nl,0.808796296,,71,University of Twente,University of Toronto,,
adb.adb.org,,adb.org,1,,537,Asian Development Bank,Asian Development Bank,TRUE,537
ai.adobe.com,,adobe.com,0.7,,41,Adobe Inc,DIW Berlin,,
a.agroparistech.fr,,agroparistech.fr,0.697552448,,193,AgroParisTech,Maastricht University,,
aifr.air.org,,air.org,0.724861111,,127,American Institutes for Research,Erasmus Universiteit Rotterdam,,
uaa.albany.edu,,albany.edu,0.734285714,,113,University at Albany,University of Maryland,,
bgsu.bgsu.edu,,bgsu.edu,0.731318681,,176,Bowling Green State University,Georgia State University,,
bu.bilkent.edu.tr,,bilkent.edu.tr,0.88,,542,Bilkent University,Bilkent Üniversitesi,TRUE,542
ubols.bls.gov,,bls.gov,0.653740834,,336,US Bureau of Labor Statistics,Institute for Fiscal Studies,,
bu.boun.edu.tr,,boun.edu.tr,0.642857143,,15,Bogazici University,Banca d'Italia,,
bsu.bowiestate.edu,,bowiestate.edu,0.814141414,,338,Bowie State University,Iowa State University,,
bu.bracu.ac.bd,,bracu.ac.bd,0.76,,44,BRAC University,Brown University,,
cc.carleton.edu,,carleton.edu,0.9125,,309,Carleton College,Carleton University,TRUE,309
cc.centre.edu,,centre.edu,0.840504202,,401,Centre College,Central European University,,
cfgd.cgdev.org,,cgdev.org,0.831983878,,53,Center for Global Development,Centre for Economic Policy Research,,
cu.clarkson.edu,,clarkson.edu,0.844444444,,404,Clarkson University,Clemson University,,
cmu.cmich.edu,,cmich.edu,0.858823529,,401,Central Michigan University,Central European University,,
cu.colgate.edu,,colgate.edu,0.808796296,,52,Colgate University,Columbia University,,
ncut.ncu.edu.tw,,ncu.edu.tw,0.68994709,,192,"National Central University, Taiwan",University of Waikato,,
mpifdr.demogr.mpg.de,,demogr.mpg.de,0.71573631,,212,Max Planck Institute for Demographic Research,Economic and Social Research Institute,,
du.denison.edu,,denison.edu,0.77047619,,140,Denison University,Deakin University,,
nb.dnb.nl,,dnb.nl,0.85978836,,218,Nederlandsche Bank,de Nederlandsche Bank,TRUE,218
uob.unibs.it,,unibs.it,0.833333333,,229,University of Brescia,University of Bristol,,
uob.uib.no,,uib.no,0.822222222,,363,University of Bergen,University of Oregon,,
nuolp.unlp.edu.ar,,unlp.edu.ar,0.866842105,,271,National University of La Plata,National University of Singapore,,
edf.edf.org,,edf.org,0.685822021,,226,Environmental Defense Fund,Centro Studi di Economia e Finanza,,
uepa.epa.gov,,epa.gov,0.731978444,,421,US Environmental Protection Agency,Université Clermont Auvergne,,
epri.epri.com,,epri.com,0.695824643,,212,Electric Power Research Institute,Economic and Social Research Institute,,
eesomat.esmt.org,,esmt.org,0.671674688,,205,ESMT European School of Management and Technology,Centro de Estudios Monetarios y Financieros,,
uoe.uni-erlangen.de,,uni-erlangen.de,0.661640212,,534,University of Erlangen-Nuremberg,University of Reading,,
fi.fb.com,,fb.com,0.661782662,,140,Facebook Inc.,Deakin University,,
uop.up.pt,,up.pt,0.834444444,,128,University of Porto,University of Pretoria,,
csuf.fullerton.edu,,fullerton.edu,0.7,,309,"California State University, Fullerton",Carleton University,,
riot.rit.edu,,rit.edu,0.794379018,,8,Rochester Institute of Technology,Massachusetts Institute of Technology,,
ge.ge.com,,ge.com,0.69348659,,92,General Electric,Federal Reserve Bank of Chicago,,
gvsu.gvsu.edu,,gvsu.edu,0.736842105,,526,Grand Valley State University,RAND,,
hc.hamilton.edu,,hamilton.edu,0.794101732,,100,Hamilton College,Boston College,,
hsog.hertie-school.org,,hertie-school.org,0.713218391,,337,Hertie School of Governance,Oesterreichische Nationalbank,,
hu.howard.edu,,howard.edu,0.801785714,,5,Howard University,Harvard University,,
hu.hw.ac.uk,,hw.ac.uk,0.692279942,,264,Heriot-Watt University,Ohio State University,,
isom.ieseg.fr,,ieseg.fr,0.715873016,,245,IESEG School of Management,Lille Économie et Management,,
isu.ilstu.edu,,ilstu.edu,0.792121212,,338,Illinois State University,Iowa State University,,
ioe.ioe.ac.uk,,ioe.ac.uk,0.886349206,,336,Institute of Education,Institute for Fiscal Studies,,
iufcon.iucn.org,,iucn.org,0.873796791,,34,International Union for Conservation of Nature,International Food Policy Research Institute,,
ju.jnu.edu.cn,,jnu.edu.cn,0.819444444,,480,Jinan University,Indiana University,,
kc.kenyon.edu,,kenyon.edu,0.765584416,,410,Kenyon College,King's College London,,
lu.lboro.ac.uk,,lboro.ac.uk,0.588008483,,423,Loughborough University,Southern Methodist University,,
uol.leeds.ac.uk,,leeds.ac.uk,1,,535,University of Leeds,University of Leeds,TRUE,535
lmc.lemoyne.edu,,lemoyne.edu,0.741964286,,245,Le Moyne College,Lille Économie et Management,,
lmu.lmu.edu,,lmu.edu,0.658823529,,460,Loyola Marymount University,Florida Atlantic University,,
mc.macalester.edu,,macalester.edu,0.716702279,,126,Macalester College,Imperial College,,
xu.xidian.edu.cn,,xidian.edu.cn,0.869047619,,480,Xidian University,Indiana University,,
mu.marshall.edu,,marshall.edu,0.805675806,,193,Marshall University,Maastricht University,,
mc.mayo.edu,,mayo.edu,0.664502165,,15,Mayo Clinic,Banca d'Italia,,
uov.uvm.edu,,uvm.edu,0.837037037,,388,University of Vermont,University of Kent,,
uom.memphis.edu,,memphis.edu,0.82962963,,504,University of Memphis,University of Miami,,
msu.morgan.edu,,morgan.edu,0.873846154,,211,Morgan State University,Michigan State University,,
mskcc.mskcc.org,,mskcc.org,0.716917293,,245,Memorial Sloan Kettering Cancer Center,Lille Économie et Management,,
ncu.nccu.edu.tw,,nccu.edu.tw,0.866984127,,271,National Chengchi University,National University of Singapore,,
ncnu.ncnu.edu.tw,,ncnu.edu.tw,0.876134454,,271,National Chi Nan University,National University of Singapore,,
nbs.neoma-bs.fr,,neoma-bs.fr,0.831244779,,396,NEOMA Business School,SKEMA Business School,,
nuols.umb.no,,umb.no,0.724309764,,329,Norwegian University of Life Sciences,Southwestern University of Finance and Economics,,
uonnc.nottingham.edu.cn,,nottingham.edu.cn,0.896,,89,University of Nottingham Ningbo China,University of Nottingham,,
nrcc.nrc-cnrc.gc.ca,,nrc-cnrc.gc.ca,0.816666667,,39,"National Research Council, Canada",University of California-Davis,,
nuoig.nuigalway.ie,,nuigalway.ie,0.780952381,,445,"National University of Ireland, Galway",University of Calgary,,
oc.oberlin.edu,,oberlin.edu,0.794444444,,126,Oberlin College,Imperial College,,
ou.ohio.edu,,ohio.edu,0.890909091,,264,Ohio University,Ohio State University,,
owu.owu.edu,,owu.edu,0.86998557,,264,Ohio Wesleyan University,Ohio State University,,
pc.popcouncil.org,,popcouncil.org,0.690572391,,320,Population Council,Seoul National University,,
rc.reed.edu,,reed.edu,0.740522876,,83,Reed College,Dartmouth College,,
ru.rider.edu,,rider.edu,0.746031746,,219,Rider University,Purdue University,,
rum.rmit.edu.au,,rmit.edu.au,0.972727273,,117,"RMIT University, Melbourne",University of Melbourne,,
su.salisbury.edu,,salisbury.edu,0.638888889,,159,Salisbury University,University of Pittsburgh,,
su.seattleu.edu,,seattleu.edu,0.713095238,,357,Seattle University,Tulane University,,
shsu.shsu.edu,,shsu.edu,0.738528139,,190,Sam Houston State University,Stockholms Universitet,,
sss.sssup.it,,sssup.it,1,,273,Scuola Superiore Sant'Anna,Scuola Superiore Sant'Anna,TRUE,273
uoi.ui.ac.id,,ui.ac.id,0.843771044,,164,University of Indonesia,University of Minnesota,,
scsu.stcloudstate.edu,,stcloudstate.edu,0.682449495,,519,St. Cloud State University,Utah State University,,
slu.stlawu.edu,,stlawu.edu,0.661782662,,357,St. Lawrence University,Tulane University,,
suu.suu.edu,,suu.edu,0.897744361,,423,Southern Utah University,Southern Methodist University,,
su.swansea.ac.uk,,swansea.ac.uk,0.813492063,,522,Swansea University,Waseda University,,
suot.swin.edu.au,,swin.edu.au,0.782915361,,78,Swinburne University of Technology,Beijing Institute of Technology,,
t.teagasc.ie,,teagasc.ie,0.671428571,,141,Teagasc,Texas A&M University,,
tu.tedu.edu.tr,,tedu.edu.tr,0.761904762,,436,TED University,United Nations,,
nc.tnc.org,,tnc.org,0.700770907,,401,Nature Conservancy,Central European University,,
duot.tudelft.nl,,tudelft.nl,0.782539683,,484,Delft University of Technology,Auckland University of Technology,,
ti.twitter.com,,twitter.com,0.683549784,,41,Twitter Inc,DIW Berlin,,
uop.u-psud.fr,,u-psud.fr,0.852104377,,286,University of Paris-Sud,University of Piraeus,,
uda.ua.es,,ua.es,0.955693582,,387,Universidad de Alicante,Universidad de València,,
uoaf.alaska.edu,,alaska.edu,0.692307692,,246,University of Alaska Fairbanks,University of California-Santa Barbara,,
uji.uji.es,,uji.es,1,,375,Universitat Jaume I,Universitat Jaume I,TRUE,375
uoml.umsl.edu,,umsl.edu,0.9,,539,University of Missouri-St. Louis,University of Missouri,,
uoncw.uncw.edu,,uncw.edu,0.818181818,,408,"University of North Carolina, Wilmington",University of Washington,,
uonf.unf.edu,,unf.edu,0.847777778,,69,University of North Florida,University of Notre Dame,,
uog.uni-goettingen.de,,uni-goettingen.de,0.771717172,,89,University of Göttingen,University of Nottingham,,
jgum.uni-mainz.de,,uni-mainz.de,0.733333333,,534,"Johannes Gutenberg University, Mainz",University of Reading,,
uop.unipv.it,,unipv.it,0.816666667,,128,University of Pavia,University of Pretoria,,
uow.uow.edu.au,,uow.edu.au,0.805050505,,194,University of Wollongong,University of Hong Kong,,
uc.ursinus.edu,,ursinus.edu,0.744444444,,288,Ursinus College,Trinity College Dublin,,
uds.us.es,,us.es,0.933636364,,342,Universidad de Sevilla,Universidade de Lisboa,,
uosd.usd.edu,,usd.edu,0.885714286,,533,University of South Dakota,University of South Africa,,
usna.usna.edu,,usna.edu,0.805339506,,412,United States Naval Academy,Universidad Nacional de La Plata,,
uot.ut.edu,,ut.edu,0.818315018,,466,University of Tampa,University of Southampton,,
uot.ut.ee,,ut.ee,0.82962963,,71,University of Tartu,University of Toronto,,
uota.utpa.edu,,utpa.edu,0.848961039,,65,University of Texas-Pan American,University of Texas-Austin,,
uof.uni-freiburg.de,,uni-freiburg.de,0.873939394,,472,University of Freiburg,University of Edinburgh,,
wcu.wcu.edu,,wcu.edu,0.820504202,,458,Western Carolina University,West Virginia University,,
wcu.wcupa.edu,,wcupa.edu,0.760683761,,302,West Chester University,University of Manchester,,
wcw.wheaton.edu,,wheaton.edu,0.754166667,,192,"Wheaton College, Wheaton",University of Waikato,,
uol.uni-leipzig.de,,uni-leipzig.de,0.762962963,,534,University of Leipzig,University of Reading,,
wku.wku.edu,,wku.edu,0.735729847,,321,Western Kentucky University,University of Kentucky,,
walu.wlu.edu,,wlu.edu,0.85622807,,270,Washington and Lee University,Washington University in St. Louis,,
wmu.wmich.edu,,wmich.edu,0.879271709,,458,Western Michigan University,West Virginia University,,
wu.wur.nl,,wur.nl,0.852380952,,548,Wageningen University,Wageningen Universiteit en Researchcentrum,,
zm.zew.de,,zew.de,0.674603175,,89,ZEW Mannheim,University of Nottingham,,
au.ajou.ac.kr,,ajou.ac.kr,0.678431373,,83,Ajou University,Dartmouth College,,
smagmuomp2x2p$.保存,,保存,0.742479067,,45,"SEAFARING, MASCULINITIES AND GLOBALIZATION, Minneapolis: University of Minnesota Press, 2011, xii+ 251 pp., $25",University of California-San Diego,,
cc.ccf.org,,ccf.org,0.663888889,,31,Cleveland Clinic,University College London,,
nsyu.nsysu.edu.tw,,nsysu.edu.tw,0.859047619,,271,National Sun Yat-sen University,National University of Singapore,,
tu.tanta.edu.eg,,tanta.edu.eg,0.771428571,,357,Tanta University,Tulane University,,
tuoc.tuc.gr,,tuc.gr,0.704099822,,401,Technical University of Crete,Central European University,,
fiu.fiu.edu,,fiu.edu,0.89618984,,460,Florida International University,Florida Atlantic University,,
ic.ithaca.edu,,ithaca.edu,0.771785714,,126,Ithaca College,Imperial College,,
fcu.fcu.edu.tw,,fcu.edu.tw,0.677777778,,73,Feng Chia University,University of Michigan,,
huosat.hust.edu.cn,,hust.edu.cn,0.739120529,,484,Huazhong University of Science and Technology,Auckland University of Technology,,
mpifhd.mpib-berlin.mpg.de,,mpib-berlin.mpg.de,0.699206349,,523,Max Planck Institute for Human Development,Frankfurt School of Finance and Management,,
odu.odu.edu,,odu.edu,0.67457265,,320,Old Dominion University,Seoul National University,,
osu.okstate.edu,,okstate.edu,0.782727273,,264,Oklahoma State University,Ohio State University,,
psu.pdx.edu,,pdx.edu,0.806060606,,519,Portland State University,Utah State University,,
puosat.postech.ac.kr,,postech.ac.kr,0.704286466,,536,Pohang University of Science and Technology,Shanghai University of Finance and Economics,,
shu.sacredheart.edu,,sacredheart.edu,0.674928775,,114,Sacred Heart University,Aarhus Universitet,,
uoaih.uah.edu,,uah.edu,0.827658863,,524,University of Alabama in Huntsville,University of Alabama-Tuscaloosa,,
bu.ub.ac.id,,ub.ac.id,0.688888889,,44,Brawijaya University,Brown University,,
uc.union.edu,,union.edu,0.761172161,,100,Union College,Boston College,,
uonao.unomaha.edu,,unomaha.edu,0.792933723,,69,University of Nebraska at Omaha,University of Notre Dame,,
uodc.uoc.edu,,uoc.edu,0.913172043,,135,Universitat Oberta de Catalunya,Universitat de Barcelona,,
uop.upatras.gr,,upatras.gr,0.825,,286,University of Patras,University of Piraeus,,
vuow.vuw.ac.nz,,vuw.ac.nz,1,,502,Victoria University of Wellington,Victoria University of Wellington,TRUE,502
cu.chula.ac.th,,chula.ac.th,0.712121212,,194,Chulalongkorn University,University of Hong Kong,,
dlsu.dlsu.edu.ph,,dlsu.edu.ph,0.674603175,,535,De La Salle University,University of Leeds,,
sdmc.downstate.edu,,downstate.edu,0.692528736,,329,SUNY Downstate Medical Center,Southwestern University of Finance and Economics,,
ecu.ecu.edu,,ecu.edu,0.76984127,,309,East Carolina University,Carleton University,,
hc.haverford.edu,,haverford.edu,0.771708683,,5,Haverford College,Harvard University,,
hc.hendrix.edu,,hendrix.edu,0.718300654,,83,Hendrix College,Dartmouth College,,
cothc.holycross.edu,,holycross.edu,0.705233762,,425,College of the Holy Cross,National Research University Higher School of Economics,,
hawsc.hws.edu,,hws.edu,0.683674985,,83,Hobart and William Smith Colleges,Dartmouth College,,
jsi.ijs.si,,ijs.si,0.710625997,,415,Jozef Stefan Institute,European University Institute,,
jmu.jmu.edu,,jmu.edu,0.693650794,,129,James Madison University,Academia Romana,,
mpr.mathematica-mpr.com,,mathematica-mpr.com,0.713227513,,261,Mathematica Policy Research,Università Politecnica delle Marche,,
unu.unu.edu,,unu.edu,0.986666667,,436,United Nations University,United Nations,,
uop.port.ac.uk,,port.ac.uk,0.857407407,,159,University of Portsmouth,University of Pittsburgh,,
ru.roosevelt.edu,,roosevelt.edu,0.738095238,,196,Roosevelt University,Drexel University,,
sjsu.sjsu.edu,,sjsu.edu,0.694949495,,338,San Jose State University,Iowa State University,,
sju.sju.edu,,sju.edu,0.67457265,,330,Saint Joseph's University,Simon Fraser University,,
tu.tlu.ee,,tlu.ee,0.741785714,,357,Tallinn University,Tulane University,,
uoi.uninsubria.it,,uninsubria.it,0.84,,539,University of Insubria,University of Missouri,,
uom.mrt.ac.lk,,mrt.ac.lk,0.765714286,,533,University of Moratuwa,University of South Africa,,
uot.utulsa.edu,,utulsa.edu,0.826031746,,462,University of Tulsa,University of Utah,,
wu.whitworth.edu,,whitworth.edu,0.65959596,,264,Whitworth University,Ohio State University,,
apu.apu.edu.in,,apu.edu.in,0.674603175,,504,Azim Premji University,University of Miami,,
gc.gettysburg.edu,,gettysburg.edu,0.708032708,,100,Gettysburg College,Boston College,,
lum.loyola.edu,,loyola.edu,0.741666667,,113,Loyola University Maryland,University of Maryland,,
su.shinshu-u.ac.jp,,shinshu-u.ac.jp,0.805555556,,310,Shinshu University,Tsinghua University,,
ums.unimas.my,,unimas.my,0.853326553,,203,Universiti Malaysia Sarawak,Université Paris-Saclay,,
uowo.uwosh.edu,,uwosh.edu,0.858299595,,151,University of Wisconsin Oshkosh,University of Wisconsin-Madison,,
aau.aamu.edu,,aamu.edu,0.65,,129,Alabama A&M University,Academia Romana,,
uoa.abdn.ac.uk,,abdn.ac.uk,0.828888889,,416,University of Aberdeen,University of Alberta,,
au.aber.ac.uk,,aber.ac.uk,0.657407407,,416,Aberystwyth University,University of Alberta,,
hou.eap.gr,,eap.gr,0.720015279,,401,Hellenic Open University,Central European University,,
scoe.sce.ac.il,,sce.ac.il,0.734126984,,100,Shamoon College of Engineering,Boston College,,
au.acadiau.ca,,acadiau.ca,0.893333333,,129,Acadia University,Academia Romana,,
acu.acu.edu.au,,acu.edu.au,0.928235294,,99,Australian Catholic University,Australian National University,,
aeass.aessweb.com,,aessweb.com,0.73505332,,212,Asian Economic and Scocial Society,Economic and Social Research Institute,,
agu.agu.edu.tr,,agu.edu.tr,0.626373626,,522,Abdullah Gul University,Waseda University,,
au.ahduni.edu.in,,ahduni.edu.in,0.738095238,,522,Ahmedabad University,Waseda University,,
nioaisat.aist.go.jp,,aist.go.jp,0.842226251,,483,National Institute of Advanced Industrial Science and Technology,National Graduate Institute for Policy Studies,,
aiot.ait.ac.th,,ait.ac.th,0.822158365,,78,Asian Institute of Technology,Beijing Institute of Technology,,
aku.aku.edu,,aku.edu,0.652910053,,211,Aga Khan University,Michigan State University,,
udc.unican.es,,unican.es,0.92057971,,387,Universidad de Cantabria,Universidad de València,,
aomasscaos.amss.ac.cn,,amss.ac.cn,0.697876198,,329,"Academy of Mathematics and Systems Science, Chinese Academy of Sciences",Southwestern University of Finance and Economics,,
aru.anglia.ac.uk,,anglia.ac.uk,0.737142857,,99,Anglia Ruskin University,Australian National University,,
uod.du.ac.in,,du.ac.in,0.823809524,,514,University of Delhi,University of Guelph,,
ru.ryerson.ca,,ryerson.ca,0.75,,404,Ryerson University,Clemson University,,
buoes.ase.ro,,ase.ro,0.738512656,,213,Bucharest University of Economic Studies,Athens University of Economics and Business,,
uoi.ui.ac.ir,,ui.ac.ir,0.791534392,,408,University of Isfahan,University of Washington,,
au.athabascau.ca,,athabascau.ca,0.672222222,,524,Athabasca University,University of Alabama-Tuscaloosa,,
atu.atu.edu,,atu.edu,0.767619048,,177,Arkansas Tech University,Arizona State University,,
uot.uth.gr,,uth.gr,0.79047619,,241,University of Thessaly,University of Essex,,
bu.birzeit.edu,,birzeit.edu,0.754166667,,424,Birzeit University,Brandeis University,,
biot.bit.edu.cn,,bit.edu.cn,1,,78,Beijing Institute of Technology,Beijing Institute of Technology,TRUE,78
bju.bjtu.edu.cn,,bjtu.edu.cn,0.853252197,,78,Beijing Jiaotong University,Beijing Institute of Technology,,
bnu.bnu.edu.cn,,bnu.edu.cn,0.682539683,,465,Beijing Normal University,Peking University,,
bu.bond.edu.au,,bond.edu.au,0.84,,44,Bond University,Brown University,,
bu.bournemouth.ac.uk,,bournemouth.ac.uk,0.686549708,,423,Bournemouth University,Southern Methodist University,,
bc.bowdoin.edu,,bowdoin.edu,0.908571429,,100,Bowdoin College,Boston College,,
uob.bradford.ac.uk,,bradford.ac.uk,0.685185185,,229,University of Bradford,University of Bristol,,
uob.brighton.ac.uk,,brighton.ac.uk,0.895555556,,229,University of Brighton,University of Bristol,,
bu.brunel.ac.uk,,brunel.ac.uk,0.805291005,,424,Brunel University,Brandeis University,,
bu.bryant.edu,,bryant.edu,0.805291005,,424,Bryant University,Brandeis University,,
bmc.brynmawr.edu,,brynmawr.edu,0.730756303,,100,Bryn Mawr College,Boston College,,
bu.buaa.edu.cn,,buaa.edu.cn,0.779761905,,465,Beihang University,Peking University,,
bu.bucknell.edu,,bucknell.edu,0.805555556,,93,Bucknell University,Cornell University,,
buoct.buct.edu.cn,,buct.edu.cn,0.85799373,,78,Beijing University of Chemical Technology,Beijing Institute of Technology,,
buid.buid.ac.ae,,buid.ac.ae,0.724245254,,87,British University in Dubai,University of British Columbia,,
buk.buk.edu.ng,,buk.edu.ng,0.692279942,,540,Bayero University Kano,Bank of Japan,,
agu.aoyama.ac.jp,,aoyama.ac.jp,0.623544974,,99,Aoyama Gakuin University,Australian National University,,
au.aau.dk,,aau.dk,0.660185185,,309,Aalborg University,Carleton University,,
csula.calstatela.edu,,calstatela.edu,0.694444444,,157,"California State University, Los Angeles",University of Queensland,,
uoc.caluniv.ac.in,,caluniv.ac.in,0.853333333,,445,University of Calcutta,University of Calgary,,
uoc.canberra.edu.au,,canberra.edu.au,0.860740741,,416,University of Canberra,University of Alberta,,
cmu.cardiffmet.ac.uk,,cardiffmet.ac.uk,0.876190476,,385,Cardiff Metropolitan University,Cardiff University,,
cau.cau.edu.cn,,cau.edu.cn,0.672020961,,457,China Agricultural University,Nanyang Technological University,,
ksu.kyoto-su.ac.jp,,kyoto-su.ac.jp,0.661782662,,38,Kyoto Sangyo University,Boston University,,
uoi.uoi.gr,,uoi.gr,0.79047619,,504,University of Ioannina,University of Miami,,
cuom.ucm.es,,ucm.es,0.702020202,,422,Complutense University of Madrid,Universidad Complutense de Madrid,,
ccnu.ccnu.edu.cn,,ccnu.edu.cn,0.888515406,,386,Central China Normal University,Central Bank of Ireland,,
ccsu.ccsu.edu,,ccsu.edu,0.851855204,,401,Central Connecticut State University,Central European University,,
nccu.ccu.edu.tw,,ccu.edu.tw,0.838424908,,271,National Chung Cheng University,National University of Singapore,,
ntuoa.ntua.gr,,ntua.gr,0.837829273,,3,National Technical University of Athens,National Bureau of Economic Research,,
ecm.centrale-marseille.fr,,centrale-marseille.fr,0.696897547,,261,Ecole Centrale Marseille,Università Politecnica delle Marche,,
cfeps.ceps.eu,,ceps.eu,0.874705882,,53,Centre for European Policy Studies,Centre for Economic Policy Research,,
c.cern.ch,,cern.ch,0.775,,93,CERN,Cornell University,,
cu.chd.edu.cn,,chd.edu.cn,0.825,,448,Chang'an University,Chapman University,,
cioit.comsats.edu.pk,,comsats.edu.pk,0.753636849,,205,COMSATS Institute of Information Technology,Centro de Estudios Monetarios y Financieros,,
cmi.cmi.no,,cmi.no,0.698099415,,212,Chr. Michelsen Institute,Economic and Social Research Institute,,
cnu.cnu.edu,,cnu.edu,0.677505828,,43,Christopher Newport University,Northwestern University,,
ccu.coastal.edu,,coastal.edu,0.724183007,,320,Coastal Carolina University,Seoul National University,,
cc.coe.edu,,coe.edu,0.783309283,,100,Coe College,Boston College,,
coc.cofc.edu,,cofc.edu,0.727192982,,31,College of Charleston,University College London,,
cc.colby.edu,,colby.edu,0.761172161,,100,Colby College,Boston College,,
cc.coloradocollege.edu,,coloradocollege.edu,0.735294118,,83,Colorado College,Dartmouth College,,
csu.columbusstate.edu,,columbusstate.edu,0.859444444,,52,Columbus State University,Columbia University,,
cu.coventry.ac.uk,,coventry.ac.uk,0.72962963,,335,Coventry University,Emory University,,
cu.creighton.edu,,creighton.edu,0.843333333,,309,Creighton University,Carleton University,,
iiotb.iitb.ac.in,,iitb.ac.in,0.671957672,,52,"Indian Institute of Technology, Bombay",Columbia University,,
cmc.cshs.org,,cshs.org,0.70531401,,387,Cedars-Sinai Medical Center,Universidad de València,,
csairo.csiro.au,,csiro.au,0.73795361,,297,Commonwealth Scientific and Industrial Research Organisation,United Nations University-Maastricht Economic Research Institute of Innovation and Technology,,
csuc.csu.edu.cn,,csu.edu.cn,0.733333333,,9,"Central South University, Changsha",University of Chicago,,
csub.csub.edu,,csub.edu,0.780681818,,498,"California State University, Bakersfield",University of Sheffield,,
csuci.csuci.edu,,csuci.edu,0.748529249,,177,California State University Channel Islands,Arizona State University,,
csuf.csufresno.edu,,csufresno.edu,0.741785714,,363,"California State University, Fresno",University of Oregon,,
csulb.csulb.edu,,csulb.edu,0.738636364,,514,"California State University, Long Beach",University of Guelph,,
csus.csus.edu,,csus.edu,0.709475709,,309,"California State University, Sacramento",Carleton University,,
uoc.cu.ac.bd,,cu.ac.bd,0.911111111,,9,University of Chittagong,University of Chicago,,
cuoa.cua.edu,,cua.edu,0.71957672,,54,Catholic University of America,University of Southern California,,
cuomat.cumt.edu.cn,,cumt.edu.cn,0.699252049,,457,China University of Mining and Technology,Nanyang Technological University,,
cuot.cut.ac.cy,,cut.ac.cy,0.745697577,,484,Cyprus University of Technology,Auckland University of Technology,,
cycu.cycu.edu.tw,,cycu.edu.tw,0.667724868,,201,Chung Yuan Christian University,Schweizerische Nationalbank,,
urwk.ur.krakow.pl,,ur.krakow.pl,0.863728971,,144,Uniwersytet Rolniczy w Krakowie,Uniwersytet Warszawski,,
uoc.cmb.ac.lk,,cmb.ac.lk,0.895555556,,237,University of Colombo,University of Colorado,,
dcu.dcu.ie,,dcu.ie,0.645454545,,422,Dublin City University,Universidad Complutense de Madrid,,
uopaes.upes.ac.in,,upes.ac.in,0.711111111,,526,University of Petroleum and Energy Studies,RAND,,
udh.uhu.es,,uhu.es,0.94031746,,325,Universidad de Huelva,Universidad de Chile,,
d.deltares.nl,,deltares.nl,0.672222222,,298,Deltares,Lancaster University,,
uod.derby.ac.uk,,derby.ac.uk,0.77047619,,163,University of Derby,University of Sydney,,
uod.deusto.es,,deusto.es,0.844444444,,440,University of Deusto,University of Houston,,
gdi.die-gdi.de,,die-gdi.de,0.754209584,,79,German Development Institute,Government of the United States,,
iiotd.iitd.ac.in,,iitd.ac.in,0.75,,514,"Indian Institute of Technology, Delhi",University of Guelph,,
dmu.dmu.ac.uk,,dmu.ac.uk,0.722222222,,278,De Montfort University,HEC Montréal,,
